age,sex,job,saving_accounts,checking_account,credit_amount,duration,purpose,marital_status,education_level,number_of_dependents,income,employment_status,existing_loans_count,credit_history_length,previous_defaults,credit_score,installment_rate,loan_type,interest_rate,collateral,default,loan_eligibility
56,female,skilled,little,moderate,46062,41,domestic appliances,married,graduate,1,33134,self-employed,0,4,0,466,0.03,car,10.58,vehicle,bad,not eligible
69,female,skilled,moderate,little,3463,,other,married,phd,1,40505,employed,1,7,0,734,0,business,5.84,guarantor,bad,not eligible
46,male,unskilled,moderate,moderate,27924,9,other,divorced,high school,1,125250,employed,0,4,0,310,0.02,education,6.63,none,bad,not eligible
32,,unskilled,moderate,moderate,15003,70,business,married,graduate,0,11268,unemployed,0,,0,682,0.02,mortgage,16.43,none,bad,not eligible
60,male,self-employed,little,little,3542,45,other,divorced,high school,0,81097,retired,0,7,0,773,0,personal,16.8,property,bad,not eligible
25,female,self-employed,little,moderate,30741,42,business,single,,1,65197,retired,0,0,0,808,0.01,mortgage,19.82,none,bad,not eligible
38,female,management,little,moderate,40241,36,car,single,high school,1,112958,retired,0,19,,353,0.01,personal,,property,bad,not eligible
56,,skilled,little,rich,7639,52,furniture,married,high school,0,127859,self-employed,2,8,1,546,0,,18.34,property,bad,not eligible
36,female,management,little,little,11726,32,domestic appliances,single,high school,0,17512,self-employed,1,13,0,818,0.02,mortgage,9.76,property,bad,not eligible
40,male,unskilled,little,little,40198,56,radio/TV,married,graduate,,73968,self-employed,0,,0,439,0.01,education,9.92,none,bad,not eligible
28,male,skilled,moderate,moderate,15262,25,car,single,postgraduate,1,131534,self-employed,5,10,1,704,0,car,6.91,none,good,eligible
28,female,skilled,little,little,,18,domestic appliances,married,graduate,3,70757,retired,2,3,1,805,0.01,personal,19.79,,bad,not eligible
41,,skilled,rich,rich,38608,68,business,married,high school,1,117753,employed,1,3,0,523,0,,19.71,property,bad,not eligible
53,male,skilled,little,little,5611,49,business,married,graduate,1,140282,employed,0,16,0,646,0,car,17.97,none,bad,not eligible
57,male,unskilled,little,moderate,3581,29,car,widowed,postgraduate,0,106381,employed,1,25,0,673,0,mortgage,,property,bad,not eligible
41,male,skilled,little,moderate,30315,8,domestic appliances,married,high school,1,118915,unemployed,,25,0,,0.03,business,17.62,none,bad,not eligible
20,,management,little,little,8302,15,business,single,high school,1,76679,self-employed,,,0,591,0.01,business,,vehicle,bad,not eligible
39,female,skilled,,little,42730,70,car,single,high school,2,82239,self-employed,1,,0,576,0.01,education,6.93,,bad,not eligible
19,male,,little,moderate,48848,54,repairs,single,graduate,2,104386,employed,2,,0,608,,mortgage,8.93,none,bad,not eligible
